Kuh ID;Kuh / Faerse;Gekalbt (ja / nein);Erster SonT;Anzahl HA1-Alarme;HA1_1;HA1_2;HA1_3;HA1_4;HA1_5;HA1_6;HA1_7;HA1_8;HA1_9;HA1_10;HA1_11;HA1_12;HA1_13;HA1_14;HA1_15;HA1_16;HA1_17;HA1_18;Anzahl HA2-Alarme;HA2_1;HA2_2;HA2_3;HA2_4;HA2_5;HA2_6;HA2_7;HA2_8;HA2_9;Umstallzeit;dt HA1_1 [h];dt HA1_2 [h];dt HA1_3 [h];dt HA1_4 [h];dt HA1_5 [h];dt HA1_6 [h];dt HA1_7 [h];dt HA1_8 [h];dt HA1_9 [h];dt HA1_10 [h];dt HA1_11 [h];dt HA1_12 [h];dt HA1_13 [h];dt HA1_14 [h];dt HA1_15 [h];dt HA1_16 [h];dt HA1_17 [h];dt HA1_18 [h];dt HA2_1 [h];dt HA2_2 [h];dt HA2_3 [h];dt HA2_4 [h];dt HA2_5 [h];dt HA2_6 [h];dt HA2_7 [h];dt HA2_8 [h];dt HA2_9 [h]
1145;Kuh;nein;2017-10-01 10:30:00;8;2017-10-04 09:18:00;2017-10-04 11:34:00;2017-10-04 22:15:00;2017-10-05 03:57:00;2017-10-01 12:53:00;2017-10-02 07:00:00;2017-10-02 15:25:00;2017-10-02 20:27:00;;;;;;;;;;;4;2017-10-05 04:56:00;2017-10-01 13:42:00;2017-10-02 07:59:00;2017-10-02 16:24:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9853;Kuh;nein;2017-10-13 07:30:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2581;Faerse;ja;2017-10-09 21:08:00;2;2017-10-10 08:21:00;2017-10-10 12:28:00;;;;;;;;;;;;;;;;;2;2017-10-10 09:21:00;2017-10-10 13:51:00;;;;;;;;2017-10-10 12:40:00;4,316666666666666;0,2;;;;;;;;;;;;;;;;;3,316666666666667;-1,1833333333333333;;;;;;;
1302;Kuh;ja;2017-10-19 00:15:00;1;2017-10-21 12:47:00;;;;;;;;;;;;;;;;;;1;2017-10-21 13:47:00;;;;;;;;;2017-10-21 15:30:00;2,716666666666667;;;;;;;;;;;;;;;;;;1,7166666666666666;;;;;;;;
1164;Kuh;ja;2017-10-18 01:15:00;1;2017-10-18 13:03:00;;;;;;;;;;;;;;;;;;1;2017-10-18 14:02:00;;;;;;;;;2017-10-18 16:30:00;3,45;;;;;;;;;;;;;;;;;;2,466666666666667;;;;;;;;
141;Kuh;ja;2017-10-16 23:15:00;2;2017-10-17 08:45:00;2017-10-21 07:40:00;;;;;;;;;;;;;;;;;1;2017-10-21 08:40:00;;;;;;;;;2017-10-21 09:00:00;96,25;1,3333333333333333;;;;;;;;;;;;;;;;;0,3333333333333333;;;;;;;;
9870;Kuh;ja;2017-10-21 15:20:00;1;2017-10-21 19:31:00;;;;;;;;;;;;;;;;;;1;2017-10-21 20:31:00;;;;;;;;;2017-10-21 21:30:00;1,9833333333333334;;;;;;;;;;;;;;;;;;0,9833333333333333;;;;;;;;
1897;Kuh;ja;2017-10-17 00:15:00;1;2017-10-17 22:35:00;;;;;;;;;;;;;;;;;;1;2017-10-17 23:34:00;;;;;;;;;2017-10-17 22:30:00;-0,08333333333333333;;;;;;;;;;;;;;;;;;-1,0666666666666667;;;;;;;;
1168;Kuh;ja;2017-10-26 02:21:00;5;2017-10-30 04:18:00;2017-10-30 10:58:00;2017-10-31 00:30:00;2017-10-31 09:19:00;2017-10-31 16:49:00;;;;;;;;;;;;;;4;2017-10-30 05:18:00;2017-10-30 12:10:00;2017-10-31 01:30:00;2017-10-31 17:49:00;;;;;;2017-10-31 19:40:00;39,36666666666667;32,7;19,166666666666668;10,35;2,85;;;;;;;;;;;;;;38,36666666666667;31,5;18,166666666666668;1,85;;;;;
2545;Faerse;ja;2017-09-29 16:10:00;1;2017-09-30 20:01:00;;;;;;;;;;;;;;;;;;1;2017-09-30 21:00:00;;;;;;;;;2017-09-30 20:30:00;0,48333333333333334;;;;;;;;;;;;;;;;;;-0,5;;;;;;;;
