ID;Kuh/Faerse;Gekalbt (ja/nein);Umstallzeit;Echte Geburtszeit;Event (ja/nein);Event Score;SonT;Eventzeit;SoffT;Moocall Score;Alarm (ja/nein);Alarmtyp (HA1/HA2);Alarmzeit
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-19 10:19:00;2017-12-19 11:07:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;9;2017-12-19 11:08:00;2017-12-19 12:54:00;;0;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-19 12:55:00;2017-12-19 13:05:00;;0;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;1;2017-12-19 13:06:00;2017-12-19 17:30:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;nein;;;;;;ja;HA1h;2017-12-17 09:24:00
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;nein;;;;;;ja;HA1h;2017-12-19 16:35:00
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;nein;;;;;;ja;HA2h;2017-12-19 17:35:00
3632;Kuh;ja;2017-10-25 21:30:00;2017-10-25 23:35:00;ja;4;2017-10-24 15:06:00;2017-10-24 23:15:00;;2;nein;;
3632;Kuh;ja;2017-10-25 21:30:00;2017-10-25 23:35:00;ja;1;2017-10-25 10:18:00;2017-10-25 21:30:00;;0;nein;;
3635;Kuh;ja;2017-11-03 00:55:00;2017-11-03 02:20:00;ja;5;2017-10-30 01:19:00;2017-10-31 02:14:00;;0;nein;;
3635;Kuh;ja;2017-11-03 00:55:00;2017-11-03 02:20:00;ja;5;2017-10-31 02:15:00;2017-11-01 02:15:00;;2;nein;;
3635;Kuh;ja;2017-11-03 00:55:00;2017-11-03 02:20:00;ja;4;2017-11-01 13:23:00;2017-11-02 07:26:00;2017-11-02 08:48:00;2;nein;;
3635;Kuh;ja;2017-11-03 00:55:00;2017-11-03 02:20:00;ja;1;2017-11-02 15:32:00;2017-11-03 00:55:00;;0;nein;;
3635;Kuh;ja;2017-11-03 00:55:00;2017-11-03 02:20:00;nein;;;;;;ja;HA1h;2017-11-02 23:52:00
3635;Kuh;ja;2017-11-03 00:55:00;2017-11-03 02:20:00;nein;;;;;;ja;HA2h;2017-11-03 00:52:00
565;Kuh;ja;2017-10-21 21:30:00;2017-10-22 00:05:00;ja;2;2017-10-17 13:08:00;2017-10-17 14:00:00;;0;nein;;
565;Kuh;ja;2017-10-21 21:30:00;2017-10-22 00:05:00;ja;2;2017-10-18 01:20:00;2017-10-18 13:00:00;;0;nein;;
565;Kuh;ja;2017-10-21 21:30:00;2017-10-22 00:05:00;ja;4;2017-10-18 13:01:00;2017-10-19 06:02:00;;1;nein;;
565;Kuh;ja;2017-10-21 21:30:00;2017-10-22 00:05:00;ja;1;2017-10-19 12:20:00;2017-10-21 21:30:00;2017-10-22 01:40:00;1;nein;;
565;Kuh;ja;2017-10-21 21:30:00;2017-10-22 00:05:00;nein;;;;;;ja;HA1h;2017-10-18 01:18:00
565;Kuh;ja;2017-10-21 21:30:00;2017-10-22 00:05:00;nein;;;;;;ja;HA1h;2017-10-21 21:52:00
565;Kuh;ja;2017-10-21 21:30:00;2017-10-22 00:05:00;nein;;;;;;ja;HA2h;2017-10-21 22:40:00
9783;Kuh;nein;;;ja;2;2017-09-29 16:30:00;2017-09-29 17:00:00;;;nein;;
2617;Kuh;nein;;;ja;2;2017-10-21 01:08:00;2017-10-21 17:06:00;;0;nein;;
2617;Kuh;nein;;;ja;4;2017-10-21 17:15:00;2017-10-22 02:08:00;2017-10-22 12:44:00;2;nein;;
2617;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-21 16:58:00
2617;Kuh;nein;;;nein;;;;;;ja;HA2h;2017-10-21 17:25:00
570;Kuh;nein;;;ja;2;2017-11-06 10:11:00;2017-11-06 12:00:00;;1;nein;;
570;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-11-06 11:55:00
2619;Kuh;nein;;;ja;3;2017-10-18 23:10:00;2017-10-19 12:03:00;;1;nein;;
2619;Kuh;nein;;;ja;3;2017-10-19 12:04:00;2017-10-19 12:20:00;;1;nein;;
2619;Kuh;nein;;;ja;3;2017-10-19 23:07:00;2017-10-20 19:10:00;2017-10-20 20:32:00;0;nein;;
2619;Kuh;nein;;;ja;4;2017-10-20 23:26:00;2017-10-21 05:05:00;;2;nein;;
2619;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-19 12:07:00
