Cow-ID,SonT,HA 1h,HA 2h,SoffT,Event,Event-Score,Moocall-Score,Date/Time of Parturition,Kommentar
3940,20.10.2017 02:11,,,20.10.2017 11:02,20.10.2017 10:05,3,2,25.10.2017 17:00,
3620,21.10.2017 01:14,,,,21.10.2017 19:22,3,1,24.10.2017 15:15,
3620,21.10.2017 19:23,21.10.2017 19:44,,,21.10.2017 23:17,4,2,24.10.2017 15:15,
3944,21.10.2017 23:20,22.10.2017 00:28,,,,6,,26.10.2017 13:05,
3944,,22.10.2017 14:47,,22.10.2017 18:21,22.10.2017 17:12,2,1,26.10.2017 13:05,
2545,29.09.2017 16:10,,,,29.09.2017 16:30,2,,30.09.2017 23:15,
2545,29.09.2017 17:10,,,,30.09.2017 09:00,2,,30.09.2017 23:15,
1045,30.09.2017 10:05,,,30.09.2017 14:00,30.09.2017 12:30,2,,04.10.2017 16:20,
1800,01.10.2017 01:00,01.10.2017 02:14,01.10.2017 03:14,,,6,,01.10.2017 09:15,
1800,,01.10.2017 06:27,01.10.2017 07:37,01.10.2017 09:25,01.10.2017 03:30,1,1,01.10.2017 09:15,
1183,02.10.2017 01:00,,,,02.10.2017 04:00,3,,05.10.2017 04:30,
1183,02.10.2017 04:01,,,,02.10.2017 11:00,3,,05.10.2017 04:30,
1183,02.10.2017 11:01,,,,02.10.2017 19:00,3,2,05.10.2017 04:30,
1183,02.10.2017 19:01,03.10.2017 10:15,,,,6,,05.10.2017 04:30,
1183,,03.10.2017 12:48,,03.10.2017 13:40,03.10.2017 11:17,2,,05.10.2017 04:30,
1183,04.10.2017 01:00,,,,04.10.2017 03:00,3,,05.10.2017 04:30,
1183,04.10.2017 03:01,,,,04.10.2017 06:00,4,,05.10.2017 04:30,
1183,04.10.2017 06:01,04.10.2017 01:10,,,,6,,05.10.2017 04:30,
1183,,04.10.2017 04:47,,,,6,,05.10.2017 04:30,
1183,,04.10.2017 22:55,04.10.2017 23:55,05.10.2017 02:14,05.10.2017 01:30,1,0,05.10.2017 04:30,
2575,05.10.2017 04:00,,,05.10.2017 10:04,05.10.2017 09:00,2,0,05.10.2017 15:50,
2571,06.10.2017 05:10,,,,06.10.2017 07:30,1,0,06.10.2017 08:10,
2588,06.10.2017 23:00,,,,09.10.2017 04:00,4,2,15.10.2017 06:00,
2596,09.10.2017 04:02,09.10.2017 16:17,,,,6,,09.10.2017 19:35,
2596,,09.10.2017 18:37,09.10.2017 19:37,09.10.2017 20:29,09.10.2017 18:30,1,2,09.10.2017 19:35,
2581,09.10.2017 21:08,10.10.2017 08:21,10.10.2017 09:21,,,6,,10.10.2017 12:50,
2581,,10.10.2017 12:28,10.10.2017 13:51,,10.10.2017 12:40,1,,10.10.2017 12:50,
